Aðýrlýk,143 Gr
Arttýrýlabilir Hafýza,Yok
Assisted GPS (Baz Ýstasyon Destekli Küresel Konumlama Sistemi),Var
Bekleme Süresi,Maksimum 240 Saat (3G ile)
Bluetooth,Var
Boyutlar,138.3 x 67.1 x 7.1 mm
Çift Hatlý,Yok
Dahili Hafýza,16 GB
Dahili Modem,Var
Dokunmatik Ekran,Var
Ekran Boyut Aralýðý,"4,5 - 4,9 inç"
Ekran Boyutu,"4,7 inç"
Ekran Çözünürlüðü,750 x 1334
Ekran Renk Çözünürlüðü,16 Milyon
Ekran Tipi,IPS LCD
E-mail Desteði,Var
Entegre Flaþ,Var
Entegre Kamera,Var
Garanti Tipi,Resmi Distribütör Garantili
Görüntülü Konuþma,Var ( Uygulama ile data kullanýr )
GPS (Küresel Konumlama Sistemi),Var
HandsFree (Eller Serbest),Var
Ýþletim Türü,iPhone OS
Kablosuz Þarj,Yok
Kamera Çözünürlüðü Aralýðý,"8 - 12,9 MP"
Kamera Çözünürlüðü,12 MP
Kamera Zoom (Yakýnlaþtýrma),"2x, Var"
Klavye,Yok
Konuþma Süresi,Maksimum 14 Saat (3G ile)
Mobil Baðlantý Hýzý,4.5G
MP3 Çalma,Var
NFC (Yakýn Alan Ýletiþimi),Var
Ön (Selfie) Kamera Aralýðý,"5 - 7,9 MP"
Ön (Selfie) Kamera,5 MP
Parmak Ýzi Okuyucu,Var
Pil Gücü Aralýðý,1500 - 1999 mAh
Pil Gücü,1715 mAh
Pil Türü,Li-Ion
Radyo,Yok
RAM  Kapasitesi,2 GB RAM
Ses Kayýt,Var
Þarj Giriþi,Lightning
Telefon Hafýzasý,Var
Telefon Modeli,iPhone 6S
Telefon Tipi,Bar Tipi
Video Kayýt,Var
Video Oynatma,Var
Wi-Fi,802.11 a/b/g/n/ac
Zil Tipi,Polifonik - Monofonik
Garanti Süresi (Ay),24
Yurt Dýþý Satýþ,Yok
Stok Kodu,TELCEPIPH6S16SI-N
